CACODE	CONSTITUENCY	CAND_NUM	NAME	RESULT	VOTE
G14	HOI SHAM	2	LEE KA WAI	654	654
G15	TO KWA WAN NORTH	1	SHUM TAI FUNG	204	204
G15	TO KWA WAN NORTH	2	LAM YI LAI	177	177
G15	TO KWA WAN NORTH	3	LEE WAI KING STARRY	1,544*	1544
G16	TO KWA WAN SOUTH	1	LAM POK	1,719*	1719
G16	TO KWA WAN SOUTH	2	CHONG LAI LING	1,020	1020
G17	HOK YUEN LAGUNA VERDE	1	YEUNG KE CHEONG	950	950
G17	HOK YUEN LAGUNA VERDE	2	YUE CHEE WING ADMOND	1,607*	1607
G17	HOK YUEN LAGUNA VERDE	3	SIU YUEN SHEUNG	1,139	1139
G18	WHAMPOA EAST	1	LAW SHEK MING	596	596
G18	WHAMPOA EAST	2	LEUNG MEI FUN	2,345*	2345
G18	WHAMPOA EAST	3	YAU WAI CHING	2,041	2041
G19	WHAMPOA WEST	1	KWONG PO YIN	2,114*	2114
G19	WHAMPOA WEST	2	LAU WAI WING	2,075	2075
G20	HUNG HOM BAY	1	LI CALVIN KAM CHEONG	47	47
G20	HUNG HOM BAY	2	FUNG KING MAN VIRGINIA	162	162
G20	HUNG HOM BAY	3	CHIU SHI SHUN	1,740	1740
G20	HUNG HOM BAY	4	CHEUNG YAN HONG	1,811*	1811
G21	HUNG HOM	1	YUM KWOK TUNG PIUS	1,173	1173
G21	HUNG HOM	2	LAM TAK SHING	1,544*	1544
G21	HUNG HOM	3	WONG CHI KEUNG	31	31
G22	KA WAI	1	LO CHIU KIT	Uncontested	NA
G23	OI MAN	1	NG FAN KAM	2,806*	2806
G23	OI MAN	2	MA HEI PANG	1,547	1547
G24	OI CHUN	1	CHO WUI HUNG	2,772*	2772
G24	OI CHUN	2	CHAN YAU CHEONG	1,842	1842
H01	LUNG TSUI	1	YEUNG MAN SEK EDMOND(BONBON)	241	241
H01	LUNG TSUI	2	TSANG CHEUK KUEN JACKAL	715	715
H01	LUNG TSUI	3	LEE TUNG KONG	2,191*	2191
H02	LUNG HA	1	LEE YIM HUNG	1,446	1446
H02	LUNG HA	2	KWOK SAU YING	2,552*	2552
H03	LUNG SHEUNG	1	LAM MAN FAI	2,798*	2798
H03	LUNG SHEUNG	2	LAM WAI KEI(RICKY)	1,478	1478
H03	LUNG SHEUNG	3	CHOW LAI CHEONG	204	204
H04	FUNG WONG	1	WONG KAM CHIU	1,422	1422
H04	FUNG WONG	2	CHAN YIM KWONG JOE	1,675*	1675
H05	FUNG TAK	1	KAN CHI HO	2,766*	2766
H05	FUNG TAK	2	WONG KWOK KEUNG	2,168	2168
H06	LUNG SING	1	NGOK KING FUN	297	297
H06	LUNG SING	2	HO WAI KUEN	111	111
H06	LUNG SING	3	LAM JOSEPH CHOK	2,640	2640
H06	LUNG SING	4	TAM HEUNG MAN	2,974*	2974
H07	SAN PO KONG	1	LUI KAI LIN WENDY	3,026*	3026
H07	SAN PO KONG	2	WAT KI ON	1,284	1284
