CACODE	CONSTITUENCY	CAND_NUM	NAME	RESULT	VOTE
R30	KAM YING	1	TONG PO CHUN	1,442	1442
R30	KAM YING	2	LI PO MUI	888	888
R30	KAM YING	3	TING TSZ YUEN	1,612*	1612
R30	KAM YING	4	LAW SIU CHUN	1,176	1176
R31	YIU ON	1	LI SAI WING	3,021*	3021
R31	YIU ON	2	CHEUNG PIK HA	2,071	2071
R32	HENG ON	1	LAM TAK WAI	2,706	2706
R32	HENG ON	2	CHENG TSUK MAN	3,740*	3740
R33	ON TAI	1	CHIU MAN LEONG	3,657*	3657
R33	ON TAI	2	YAU YUET WAH DONNA	2,647	2647
R34	TAI SHUI HANG	1	YUNG MING CHAU MICHAEL	2,964*	2964
R34	TAI SHUI HANG	2	CHEUNG CHI YIN	2,629	2629
R35	YU YAN	1	YIU KA CHUN	Uncontested	NA
R36	BIK WOO	1	OWEN OI MING EMILY	1,490	1490
R36	BIK WOO	2	WONG PING FAN	2,352*	2352
R36	BIK WOO	3	LAU WAI LUN	1,151	1151
R37	KWONG HONG	1	CHOI CHUN CHIU PAUL	1,028	1028
R37	KWONG HONG	2	WONG FU SANG	2,034*	2034
R37	KWONG HONG	3	NG WAI LING	1,828	1828
R38	KWONG YUEN	1	CHAN MAN KUEN	2,525*	2525
R38	KWONG YUEN	2	SUNG TSZ MING	1,553	1553
S01	KWAI HING	1	LEUNG CHI SHING	2,931*	2931
S01	KWAI HING	2	LEUNG CHI HO	1,139	1139
S02	KWAI SHING EAST ESTATE	1	CHAN YUK LING	75	75
S02	KWAI SHING EAST ESTATE	2	MO SANG TUNG	1,833	1833
S02	KWAI SHING EAST ESTATE	3	LEUNG KWONG CHEONG	677	677
S02	KWAI SHING EAST ESTATE	4	CHOW WAI HUNG RAYMAN	3,212*	3212
S03	UPPER TAI WO HAU	1	LAU CHIN PANG	1,589	1589
S03	UPPER TAI WO HAU	2	HUI KEI CHEUNG	2,217*	2217
S04	LOWER TAI WO HAU	1	WONG BING KUEN	3,098*	3098
S04	LOWER TAI WO HAU	2	CHEUNG WAI MAN	1,369	1369
S05	KWAI CHUNG ESTATE NORTH	1	LEUNG KAM WAI	2,195*	2195
S05	KWAI CHUNG ESTATE NORTH	2	LEUNG KONG MING	1,617	1617
S06	KWAI CHUNG ESTATE SOUTH	1	LEE WANG FUNG	1,790	1790
S06	KWAI CHUNG ESTATE SOUTH	2	WONG YUN TAT	2,320*	2320
S07	SHEK YAM	1	LI SAI LUNG	2,907*	2907
S07	SHEK YAM	2	WAN SIU KIN ANDREW	2,853	2853
S08	ON YAM	1	LEUNG TSZ WING DENNIS	2,714*	2714
S08	ON YAM	2	LEUNG WING KUEN	1,831	1831
S09	SHEK LEI SOUTH	1	LEUNG KWOK WAH	2,974	2974
S09	SHEK LEI SOUTH	2	NG KA CHIU	3,141*	3141
S10	SHEK LEI NORTH	1	LAM SIU FAI	2,981*	2981
S10	SHEK LEI NORTH	2	CHEUNG IP MEI	1,459	1459
S11	TAI PAK TIN	1	KWOK FU YUNG	2,884*	2884
S11	TAI PAK TIN	2	TSUI SANG HUNG SAMMY	1,997	1997
S12	KWAI FONG	1	LEUNG YIU CHUNG	3,301*	3301
S12	KWAI FONG	2	CHAN MAN LUEN YING	1,624	1624
S13	WAH LAI	1	TAI PUI SHAN CHRISTABEL DONNA	263	263
S13	WAH LAI	2	YUEN KWOK KI	707	707
S13	WAH LAI	3	WONG YIU CHUNG	2,130*	2130
S14	LAI WAH	1	CHU LAI LING	Uncontested	NA
S15	CHO YIU	1	PAU MING HONG	2,986*	2986
S15	CHO YIU	2	LO WAI LAN	580	580
S15	CHO YIU	3	CHAN TAK CHEUNG	1,230	1230
S16	HING FONG	1	LEUNG KAR MING	2,629	2629
S16	HING FONG	2	NG KIM SING	2,701*	2701
S17	LAI KING	1	CHOW YICK HAY	Uncontested	NA
S18	KWAI SHING WEST ESTATE	1	LAU MEI LO	3,157*	3157
S18	KWAI SHING WEST ESTATE	2	LEUNG CHING SHAN	2,146	2146
S19	ON HO	1	TAM WAI CHUN	3,021*	3021
S19	ON HO	2	LAU SIU HANG	2,667	2667
S20	WAI YING	1	MAK MEI KUEN ALICE	Uncontested	NA
S21	TSING YI ESTATE	1	CHENG HIU LING(ELAINE)	1,311	1311
S21	TSING YI ESTATE	2	CHIU CHIT UE(UNY)	655	655
S21	TSING YI ESTATE	3	YU LAP ON	54	54
S21	TSING YI ESTATE	4	CHAN SIU MAN SIMON	2,419*	2419
S22	GREENFIELD	1	CHEUNG WAI CHING CLARICE	3,467*	3467
S22	GREENFIELD	2	POON SIU PING NANCY	578	578
S23	CHEUNG CHING	1	LEE CHI KEUNG ALAN	3,223*	3223
S23	CHEUNG CHING	2	WONG KWONG MO	1,273	1273
S24	CHEUNG HONG	1	TSUI HIU KIT	Uncontested	NA
S25	SHING HONG	1	FU MOON FONG FERDINAND	990	990
S25	SHING HONG	2	LEUNG WAI MAN	2,345*	2345
S26	TSING YI SOUTH	1	IP YAM SHEK JOHNATHAN	1,654	1654
S26	TSING YI SOUTH	2	POON CHI SHING	3,214*	3214
S27	CHEUNG HANG	1	LUI KO WAI	165	165
S27	CHEUNG HANG	2	LAM LAP CHI	1,838	1838
S27	CHEUNG HANG	3	LO YUEN TING	2,814*	2814
S27	CHEUNG HANG	4	HA LUNG WAN	168	168
S28	CHING FAT	1	WONG KIN LONG	233	233
S28	CHING FAT	2	LAU CHI KIT	2,283	2283
S28	CHING FAT	3	LEE HON SAM	282	282
S28	CHING FAT	4	LAM CHUI LING NANCY	2,648*	2648
S29	CHEUNG ON	1	LAW KING SHING	2,359*	2359
S29	CHEUNG ON	2	WONG CHUN KIT	1,467	1467
S29	CHEUNG ON	3	HO CHI WAI	554	554
T01	LANTAU	1	YU HON KWAN(RANDY)	1,895*	1895
T01	LANTAU	2	LAU KING CHEUNG	653	653
T01	LANTAU	3	YUEN YUK WAH	727	727
T01	LANTAU	4	TAM SAU NGOR	486	486
T02	YAT TUNG ESTATE NORTH	1	LEUNG HON WAI(JIMMY)	900	900
T02	YAT TUNG ESTATE NORTH	2	TANG KA PIU	3,061*	3061
T03	YAT TUNG ESTATE SOUTH	1	LO KWONG SHING ANDY	2,001	2001
T03	YAT TUNG ESTATE SOUTH	2	KWOK PING	2,469*	2469
T04	TUNG CHUNG NORTH	1	FU HIU LAM SAMMI	1,929*	1929
T04	TUNG CHUNG NORTH	2	YU CHUN CHEUNG PETER	1,897	1897
T05	TUNG CHUNG SOUTH	1	WONG CHUN YEUNG	1,917	1917
T05	TUNG CHUNG SOUTH	2	CHOW HO DING HOLDEN	2,161*	2161
T06	DISCOVERY BAY	1	CHIU TAK WAI(FRANCIS)	860	860
T06	DISCOVERY BAY	2	YUNG WING SHEUNG AMY(AMY YUNG)	1,176*	1176
T06	DISCOVERY BAY	3	HU ZILIANG(JIMMY)	113	113
T07	PENG CHAU & HEI LING CHAU	1	TSANG SAU HO JOSEPHINE	Uncontested	NA
T08	LAMMA & PO TOI	1	YU LAI FAN	Uncontested	NA
T09	CHEUNG CHAU SOUTH	1	LAM KIT SING	460	460
T09	CHEUNG CHAU SOUTH	2	LEUNG KWOK HO	838	838
T09	CHEUNG CHAU SOUTH	3	KWONG KOON WAN	1,487*	1487
T10	CHEUNG CHAU NORTH	1	LEE KWAI CHUN	1,681*	1681
T10	CHEUNG CHAU NORTH	2	KWONG WAI KUEN	480	480
