CACODE	CONSTITUENCY_C	CONSTITUENCY_E	CAND_NUM	NAME_E	NAME_C	AFFILIATION
S26	青衣南	tsingyisouth	1	ipyamshekjohnathan	葉荏碩	青年新政
S26	青衣南	tsingyisouth	2	poonchishing	潘志成	民建聯
S27	長亨	cheunghang	1	luikowai	雷可畏	獨立建制派
S27	長亨	cheunghang	2	lamlapchi	林立志	民主黨
S27	長亨	cheunghang	3	loyuenting	盧婉婷	民建聯
S27	長亨	cheunghang	4	halungwan	夏龍雲	不明確
S28	青發	chingfat	1	wongkinlong	黃健朗	不明確
S28	青發	chingfat	2	lauchikit	劉子傑	民主黨
S28	青發	chingfat	3	leehonsam	李漢森	青發生活關注組/傘後組織
S28	青發	chingfat	4	lamchuilingnancy	林翠玲	獨立建制派
S29	長安	cheungon	1	lawkingshing	羅競成	民建聯
S29	長安	cheungon	2	wongchunkit	黃俊傑	青年新政/傘後組織
S29	長安	cheungon	3	hochiwai	何志偉	民主黨
T01	大嶼山	lantau	1	yuhonkwan	余漢坤	鄉事派
T01	大嶼山	lantau	2	laukingcheung	劉敬彰	不明確/大嶼山之友
T01	大嶼山	lantau	3	yuenyukwah	袁玉華	不明確
T01	大嶼山	lantau	4	tamsaungor	譚秀娥	不明確
T02	逸東邨北	yattungestatenorth	1	leunghonwai	梁漢威	獨立民主派/傘後組織
T02	逸東邨北	yattungestatenorth	2	tangkapiu	鄧家彪	工聯會
T03	逸東邨南	yattungestatesouth	1	lokwongshingandy	老廣成	民建聯
T03	逸東邨南	yattungestatesouth	2	kwokping	郭平	民主黨
T04	東涌北	tungchungnorth	1	fuhiulamsammi	傅曉琳	新民黨
T04	東涌北	tungchungnorth	2	yuchuncheungpeter	余俊翔	公民黨
T05	東涌南	tungchungsouth	1	wongchunyeung	王進洋	東涌人/傘後組織
T05	東涌南	tungchungsouth	2	chowhodingholden	周浩鼎	民建聯
T06	愉景灣	discoverybay	1	chiutakwai	趙德威	獨立建制派
T06	愉景灣	discoverybay	2	yungwingsheungamy	容詠嫦	公民黨
T06	愉景灣	discoverybay	3	huziliang	胡子良	不明確
T07	坪洲及喜靈洲	pengchau&heilingchau	1	tsangsauho	曾秀好	獨立建制派
T08	南丫及蒲台	lamma&potoi	1	yulaifan	余麗芬	民建聯
T09	長洲南	cheungchausouth	1	lamkitsing	林潔聲	鄉事派
T09	長洲南	cheungchausouth	2	leungkwokho	梁國豪	不明確
T09	長洲南	cheungchausouth	3	kwongkoonwan	鄺官穩	經民聯
T10	長洲北	cheungchaunorth	1	leekwaichun	李桂珍	民建聯
T10	長洲北	cheungchaunorth	2	kwongwaikuen	鄺惠娟	不明確
